CAU14290,S7970,2017,11,17,
CAU10033,S12547,2019,7,25,
CAU5186,S3641,2018,7,25,
CAU7592,S6523,2019,5,15,
CAU3653,S12628,2019,6,15,
CAU14460,S2610,2015,4,9,
CAU12855,S2559,2015,5,11,
CAU8486,S9588,2017,5,25,
CAU12627,S10124,2016,3,16,
CAU12008,S10199,2015,7,8,
CAU10624,S1497,2016,1,15,
CAU9380,S2309,2016,6,25,
CAU2485,S7023,2017,3,15,
CAU11677,S7189,2015,4,15,
CAU13666,S5749,2018,11,9,
CAU6747,S2705,2017,11,8,
CAU6693,S12989,2019,10,4,
CAU7382,S3568,2015,8,7,
CAU11769,S7845,2017,10,16,
CAU14585,S4031,2019,5,18,
CAU14197,S3553,2018,9,8,
CAU2948,S7308,2018,6,9,
CAU6224,S6759,2019,3,21,
CAU2344,S1034,2017,1,16,
CAU11305,S7876,2018,8,18,
CAU14919,S6008,2019,8,19,
CAU10603,S3320,2017,8,2,
CAU9015,S10120,2019,1,24,
CAU12019,S1512,2019,5,5,
CAU13944,S505,2018,2,16,
CAU14889,S7780,2019,5,15,
CAU5707,S10751,2017,3,21,
CAU4702,S12247,2016,5,11,
CAU13837,S6866,2018,9,17,
CAU206,S8988,2018,1,9,
CAU1428,S3417,2018,7,11,
CAU13181,S10166,2016,4,5,
CAU13010,S6735,2019,4,22,
CAU6213,S7228,2019,11,13,
CAU6672,S7337,2016,6,3,
CAU1706,S8016,2018,11,15,
CAU10312,S2058,2017,11,8,
CAU14875,S10680,2016,9,10,
CAU13101,S12638,2019,7,6,
CAU5979,S12923,2017,7,14,
CAU7508,S12181,2015,10,17,
CAU2479,S1178,2019,3,9,
CAU9744,S5141,2017,6,14,
CAU7959,S2393,2018,6,1,
CAU9543,S9367,2015,8,17,
CAU1606,S3250,2018,1,17,
CAU9389,S10885,2018,9,25,
CAU4200,S8563,2017,5,14,
CAU10597,S5266,2015,1,5,
CAU14371,S6618,2015,8,10,
CAU4771,S3378,2017,11,11,
CAU2569,S9464,2019,11,6,
CAU1660,S3594,2019,6,1,
CAU9941,S11941,2015,6,22,
CAU1085,S2988,2017,1,14,
CAU5599,S11502,2017,5,20,
CAU2922,S11384,2019,11,16,
CAU13865,S6203,2019,2,20,
CAU6479,S6768,2019,10,12,
CAU6556,S10291,2018,11,6,
CAU1147,S2341,2015,5,10,
CAU12727,S2300,2015,9,5,
CAU11250,S1748,2015,1,9,
CAU7423,S6394,2016,11,5,
CAU11726,S5788,2016,3,19,
CAU5282,S10710,2015,10,25,
CAU549,S1785,2018,8,16,
CAU11896,S9565,2019,9,18,
CAU3602,S11286,2019,6,8,
CAU5351,S6412,2017,11,14,
CAU3466,S5770,2018,8,15,
CAU14249,S7579,2018,8,2,
CAU5346,S10977,2019,5,23,
CAU10648,S7044,2015,11,17,
CAU3970,S12458,2019,9,4,
CAU1030,S2446,2017,5,1,
CAU5347,S11596,2016,1,6,
CAU12345,S3005,2015,1,21,
CAU5583,S586,2019,4,17,
CAU13822,S9547,2019,8,21,
CAU4333,S11866,2017,3,10,
CAU9352,S5524,2019,9,20,
CAU11323,S9616,2017,9,13,
CAU6362,S5215,2015,8,4,
CAU10581,S3822,2016,4,18,
CAU14594,S8281,2016,6,15,
CAU8769,S10843,2017,5,12,
CAU9339,S3346,2016,4,7,
CAU3133,S10166,2016,1,3,
CAU568,S8010,2018,1,9,
CAU13104,S3500,2019,10,24,
CAU4929,S11434,2016,5,22,
CAU10166,S10857,2017,8,25,
CAU13338,S8235,2019,4,5,
CAU10631,S256,2018,2,16,
CAU4358,S8255,2017,2,2,
CAU9092,S11435,2018,8,13,
CAU10211,S7729,2017,10,7,
CAU13418,S5521,2016,5,19,
CAU6522,S11246,2018,9,13,
CAU10788,S7553,2019,11,20,
CAU4834,S9417,2019,8,22,
CAU8671,S10763,2016,11,1,
CAU6392,S7100,2017,4,25,
CAU13628,S622,2019,10,16,
CAU346,S10849,2018,4,1,
CAU2917,S12923,2015,3,18,
CAU6559,S2192,2019,5,20,
CAU2846,S7331,2016,7,16,
CAU5503,S9883,2015,4,20,
CAU1105,S8066,2018,8,7,
CAU3571,S5989,2015,1,15,
CAU4658,S166,2015,2,2,
CAU402,S2353,2019,4,25,
CAU9621,S855,2018,7,25,
CAU5034,S6339,2018,7,22,
CAU14015,S1843,2016,10,16,
CAU12055,S1393,2017,10,15,
CAU12160,S10603,2018,5,17,
CAU979,S4017,2017,2,23,
CAU8782,S3630,2016,10,3,
CAU12962,S6133,2015,8,1,
CAU12244,S2207,2017,5,19,
CAU1121,S10545,2017,2,14,
CAU6675,S3050,2018,9,21,
CAU153,S1399,2015,7,3,
CAU8912,S12153,2017,7,25,
CAU4518,S8047,2019,6,21,
CAU12384,S11178,2019,7,9,
CAU1963,S5088,2019,7,8,
CAU14026,S11900,2018,8,8,
CAU10492,S6207,2015,3,25,
CAU8424,S6932,2018,6,16,
CAU10255,S4484,2018,6,15,
CAU10000,S11022,2015,11,23,
CAU6198,S11050,2016,5,14,
CAU3460,S8510,2016,11,10,
CAU10120,S924,2019,9,22,
CAU2235,S7364,2018,10,1,
CAU12356,S12812,2015,3,18,
CAU9349,S1690,2016,8,19,
CAU13845,S9934,2015,7,6,
CAU400,S32,2017,8,8,
CAU4699,S12373,2015,11,6,
CAU12663,S7428,2016,5,3,
CAU12285,S5020,2016,3,23,
CAU13525,S7675,2015,9,21,
CAU371,S6921,2018,10,19,
CAU278,S12243,2019,8,19,
CAU12536,S8704,2018,1,14,
CAU11380,S3318,2015,3,20,
CAU13627,S6367,2016,8,23,
CAU728,S2492,2015,11,17,
CAU3810,S2416,2015,2,22,
CAU2783,S532,2016,1,16,
CAU88,S4594,2017,1,5,
CAU12150,S6570,2018,4,13,
CAU1305,S7700,2016,8,20,
CAU8087,S12482,2015,6,16,
CAU4036,S11471,2015,9,9,
CAU1519,S11331,2018,3,4,
CAU3543,S7833,2016,5,14,
CAU3978,S1383,2018,8,6,
CAU5482,S6252,2016,5,21,
CAU5258,S11661,2017,6,9,
CAU9170,S1144,2017,2,18,
CAU2728,S3599,2015,7,18,
CAU4550,S9448,2016,3,24,
CAU14352,S10671,2015,6,1,
CAU12766,S3544,2015,2,7,
CAU7354,S9889,2019,4,15,
CAU6937,S11765,2015,10,14,
CAU7324,S8298,2015,4,25,
CAU10781,S12781,2018,7,14,
CAU10464,S12121,2016,4,11,
CAU699,S6062,2017,9,23,
CAU7512,S7815,2018,7,14,
CAU3158,S1323,2019,10,11,
CAU11206,S10369,2019,11,14,
CAU3002,S10686,2016,10,3,
CAU6685,S3658,2015,10,4,
CAU7282,S12938,2015,7,6,
CAU1202,S3969,2018,2,25,
CAU1200,S511,2015,5,10,
CAU4518,S3148,2018,8,21,
CAU524,S9479,2018,4,3,
CAU5547,S8063,2019,4,21,
CAU6306,S1259,2015,11,21,
CAU3034,S2952,2017,6,12,
CAU6111,S4021,2017,5,19,
CAU12657,S9696,2019,3,16,
CAU3347,S10394,2019,7,24,
CAU84,S8012,2017,2,4,
CAU10706,S9630,2016,6,24,
CAU6517,S1604,2019,8,23,
CAU13407,S9441,2019,11,7,
CAU6752,S4008,2016,2,23,
CAU11247,S9458,2018,11,11,
CAU2205,S5345,2019,2,1,
CAU11124,S1235,2019,9,7,
CAU13523,S7564,2017,4,20,
CAU786,S10299,2019,1,19,
CAU11574,S4919,2017,8,21,
CAU11340,S10375,2016,1,5,
CAU1551,S9058,2018,7,24,
CAU12757,S5417,2018,3,21,
