CAU0,B0,author54,Fox,2028,
CAU1,B1,author58,CAT,2022,
CAU2,B2,author99,Dog,2004,
CAU3,B3,author68,Wolf,2020,
CAU4,B4,author98,Dog,2014,
CAU5,B5,author85,Fox,2028,
CAU6,B6,author0,Fox,2023,
CAU7,B7,author39,Fox,2008,
CAU8,B8,author13,Wolf,2008,
CAU9,B9,author6,Wolf,2009,
CAU10,B10,author23,Wolf,2005,
CAU11,B11,author48,Dog,2011,
CAU12,B12,author14,Fox,2001,
CAU13,B13,author89,Fox,2019,
CAU14,B14,author17,Wolf,2024,
CAU15,B15,author24,Dog,2023,
CAU16,B16,author25,Fox,2009,
CAU17,B17,author20,Dog,2001,
CAU18,B18,author76,Dog,2003,
CAU19,B19,author60,Fox,2017,
CAU20,B20,author53,Fox,2014,
CAU21,B21,author25,Dog,2003,
CAU22,B22,author74,CAT,2016,
CAU23,B23,author85,Dog,2009,
CAU24,B24,author67,Dog,2007,
CAU25,B25,author96,Dog,2026,
CAU26,B26,author40,Dog,2002,
CAU27,B27,author44,CAT,2009,
CAU28,B28,author42,Wolf,2018,
CAU29,B29,author80,CAT,2004,
CAU30,B30,author20,Fox,2019,
CAU31,B31,author96,Fox,2027,
CAU32,B32,author41,CAT,2028,
CAU33,B33,author20,CAT,2006,
CAU34,B34,author19,Fox,2022,
CAU35,B35,author19,Wolf,2024,
CAU36,B36,author51,Fox,2006,
CAU37,B37,author52,Wolf,2004,
CAU38,B38,author88,Wolf,2011,
CAU39,B39,author21,Wolf,2003,
CAU40,B40,author48,Wolf,2008,
CAU41,B41,author28,CAT,2016,
CAU42,B42,author78,Wolf,2006,
CAU43,B43,author22,Fox,2008,
CAU44,B44,author80,Fox,2022,
CAU45,B45,author49,Wolf,2007,
CAU46,B46,author22,Wolf,2015,
CAU47,B47,author13,Fox,2024,
CAU48,B48,author96,Fox,2006,
CAU49,B49,author78,Wolf,2015,
CAU50,B50,author79,Wolf,2012,
CAU51,B51,author54,Fox,2006,
CAU52,B52,author29,Dog,2006,
CAU53,B53,author55,Fox,2016,
CAU54,B54,author70,Wolf,2018,
CAU55,B55,author88,Fox,2003,
CAU56,B56,author84,Fox,2011,
CAU57,B57,author55,Wolf,2017,
CAU58,B58,author63,Wolf,2011,
CAU59,B59,author31,Dog,2021,
CAU60,B60,author21,Dog,2020,
CAU61,B61,author11,Wolf,2006,
CAU62,B62,author26,Fox,2008,
CAU63,B63,author55,Fox,2014,
CAU64,B64,author40,CAT,2015,
CAU65,B65,author95,Fox,2008,
CAU66,B66,author0,CAT,2015,
CAU67,B67,author26,CAT,2026,
CAU68,B68,author41,CAT,2025,
CAU69,B69,author24,Fox,2029,
CAU70,B70,author66,Fox,2010,
CAU71,B71,author21,Dog,2027,
CAU72,B72,author1,Fox,2000,
CAU73,B73,author47,Dog,2005,
CAU74,B74,author72,Dog,2009,
CAU75,B75,author65,CAT,2027,
CAU76,B76,author66,Fox,2022,
CAU77,B77,author42,Fox,2017,
CAU78,B78,author84,Fox,2022,
CAU79,B79,author72,Dog,2011,
CAU80,B80,author33,Fox,2002,
CAU81,B81,author49,Fox,2004,
CAU82,B82,author9,Wolf,2004,
CAU83,B83,author48,Fox,2016,
CAU84,B84,author3,CAT,2001,
CAU85,B85,author45,CAT,2010,
CAU86,B86,author90,Wolf,2021,
CAU87,B87,author83,CAT,2009,
CAU88,B88,author9,CAT,2009,
CAU89,B89,author65,CAT,2017,
CAU90,B90,author72,CAT,2027,
CAU91,B91,author6,Fox,2018,
CAU92,B92,author93,Wolf,2010,
CAU93,B93,author33,Dog,2014,
CAU94,B94,author80,CAT,2013,
CAU95,B95,author92,Dog,2028,
CAU96,B96,author2,Dog,2000,
CAU97,B97,author40,Dog,2012,
CAU98,B98,author19,CAT,2028,
CAU99,B99,author43,Fox,2011,
CAU100,B100,author72,Dog,2009,
CAU101,B101,author86,Dog,2025,
CAU102,B102,author59,CAT,2013,
CAU103,B103,author3,Fox,2011,
CAU104,B104,author81,Fox,2007,
CAU105,B105,author71,Wolf,2012,
CAU106,B106,author71,Wolf,2008,
CAU107,B107,author38,Wolf,2019,
CAU108,B108,author83,Dog,2027,
CAU109,B109,author28,Fox,2015,
CAU110,B110,author55,CAT,2027,
CAU111,B111,author16,Fox,2005,
CAU112,B112,author83,CAT,2004,
CAU113,B113,author88,Dog,2023,
CAU114,B114,author67,Wolf,2021,
CAU115,B115,author95,Dog,2015,
CAU116,B116,author69,Wolf,2019,
CAU117,B117,author42,Wolf,2001,
CAU118,B118,author87,Fox,2021,
CAU119,B119,author67,Dog,2018,
CAU120,B120,author6,Dog,2017,
CAU121,B121,author14,Dog,2001,
CAU122,B122,author67,CAT,2006,
CAU123,B123,author53,Fox,2013,
CAU124,B124,author47,Dog,2014,
CAU125,B125,author77,CAT,2017,
CAU126,B126,author93,Dog,2024,
CAU127,B127,author77,Wolf,2025,
CAU128,B128,author75,Fox,2019,
CAU129,B129,author95,Wolf,2028,
