CAU0,B0,author51,Fox,2028,
CAU1,B1,author84,CAT,2016,
CAU2,B2,author82,Wolf,2016,
CAU3,B3,author36,Fox,2029,
CAU4,B4,author3,Wolf,2018,
CAU5,B5,author90,Wolf,2025,
CAU6,B6,author49,CAT,2028,
CAU7,B7,author77,Fox,2008,
CAU8,B8,author82,Dog,2011,
CAU9,B9,author84,CAT,2008,
CAU10,B10,author6,Fox,2003,
CAU11,B11,author65,Fox,2001,
CAU12,B12,author17,Fox,2028,
CAU13,B13,author85,Fox,2008,
CAU14,B14,author79,CAT,2029,
CAU15,B15,author93,Wolf,2004,
CAU16,B16,author32,Wolf,2006,
CAU17,B17,author68,CAT,2005,
CAU18,B18,author34,CAT,2021,
CAU19,B19,author4,Dog,2020,
CAU20,B20,author22,Wolf,2013,
CAU21,B21,author64,Dog,2027,
CAU22,B22,author86,CAT,2017,
CAU23,B23,author46,Fox,2011,
CAU24,B24,author59,CAT,2021,
CAU25,B25,author85,Dog,2019,
CAU26,B26,author60,Wolf,2006,
CAU27,B27,author22,Fox,2025,
CAU28,B28,author38,CAT,2017,
CAU29,B29,author42,Wolf,2029,
CAU30,B30,author64,Wolf,2013,
CAU31,B31,author90,Dog,2025,
CAU32,B32,author75,Fox,2025,
CAU33,B33,author99,Fox,2006,
CAU34,B34,author29,CAT,2025,
CAU35,B35,author58,Fox,2009,
CAU36,B36,author99,CAT,2004,
CAU37,B37,author68,Dog,2014,
CAU38,B38,author24,CAT,2023,
CAU39,B39,author44,Dog,2020,
CAU40,B40,author87,Fox,2012,
CAU41,B41,author3,Dog,2015,
CAU42,B42,author89,Dog,2025,
CAU43,B43,author68,Fox,2018,
CAU44,B44,author39,Dog,2000,
CAU45,B45,author40,Wolf,2016,
CAU46,B46,author29,Dog,2025,
CAU47,B47,author11,CAT,2022,
CAU48,B48,author82,Fox,2007,
CAU49,B49,author16,Dog,2021,
CAU50,B50,author39,CAT,2000,
CAU51,B51,author38,Fox,2026,
CAU52,B52,author32,Wolf,2021,
CAU53,B53,author96,CAT,2023,
CAU54,B54,author65,Dog,2014,
CAU55,B55,author21,CAT,2006,
CAU56,B56,author44,CAT,2011,
CAU57,B57,author44,Fox,2007,
CAU58,B58,author39,Fox,2022,
CAU59,B59,author62,Wolf,2004,
CAU60,B60,author20,Dog,2016,
CAU61,B61,author35,Fox,2024,
CAU62,B62,author82,Fox,2025,
CAU63,B63,author32,Fox,2028,
CAU64,B64,author48,Fox,2016,
CAU65,B65,author98,Wolf,2004,
CAU66,B66,author40,CAT,2010,
CAU67,B67,author44,Fox,2009,
CAU68,B68,author18,CAT,2012,
CAU69,B69,author53,Wolf,2011,
CAU70,B70,author33,Wolf,2011,
CAU71,B71,author4,Wolf,2014,
CAU72,B72,author36,CAT,2028,
CAU73,B73,author45,Fox,2018,
CAU74,B74,author62,Fox,2025,
CAU75,B75,author23,Wolf,2001,
CAU76,B76,author91,Wolf,2023,
CAU77,B77,author70,CAT,2015,
CAU78,B78,author26,Dog,2003,
CAU79,B79,author77,CAT,2014,
CAU80,B80,author16,Dog,2024,
CAU81,B81,author49,CAT,2019,
CAU82,B82,author21,CAT,2023,
CAU83,B83,author67,Wolf,2007,
CAU84,B84,author14,Fox,2008,
CAU85,B85,author50,Dog,2015,
CAU86,B86,author46,CAT,2001,
CAU87,B87,author39,Fox,2015,
CAU88,B88,author39,Dog,2008,
CAU89,B89,author64,Wolf,2001,
CAU90,B90,author25,Wolf,2009,
CAU91,B91,author75,CAT,2025,
CAU92,B92,author30,Fox,2027,
CAU93,B93,author40,Wolf,2015,
CAU94,B94,author34,Fox,2013,
CAU95,B95,author8,Wolf,2026,
CAU96,B96,author50,Wolf,2018,
CAU97,B97,author32,Dog,2021,
CAU98,B98,author53,Fox,2020,
CAU99,B99,author39,Dog,2014,
CAU100,B100,author7,CAT,2018,
CAU101,B101,author54,Wolf,2013,
CAU102,B102,author98,CAT,2024,
CAU103,B103,author7,Wolf,2011,
CAU104,B104,author65,Wolf,2007,
CAU105,B105,author46,CAT,2027,
CAU106,B106,author77,Dog,2024,
CAU107,B107,author93,Wolf,2017,
CAU108,B108,author98,Wolf,2019,
CAU109,B109,author42,Dog,2018,
CAU110,B110,author55,Dog,2012,
CAU111,B111,author30,Dog,2002,
CAU112,B112,author21,Fox,2000,
CAU113,B113,author16,CAT,2019,
CAU114,B114,author45,Wolf,2022,
CAU115,B115,author23,Wolf,2019,
CAU116,B116,author34,Dog,2006,
CAU117,B117,author29,Wolf,2023,
CAU118,B118,author70,Dog,2012,
CAU119,B119,author15,CAT,2023,
CAU120,B120,author85,Fox,2007,
CAU121,B121,author61,Dog,2027,
CAU122,B122,author80,CAT,2027,
CAU123,B123,author46,Dog,2006,
CAU124,B124,author99,Wolf,2009,
CAU125,B125,author30,Fox,2007,
CAU126,B126,author3,Wolf,2026,
CAU127,B127,author65,Dog,2011,
CAU128,B128,author65,Wolf,2023,
CAU129,B129,author63,CAT,2020,
CAU130,B130,author82,Wolf,2010,
CAU131,B131,author63,Fox,2012,
CAU132,B132,author72,Dog,2024,
CAU133,B133,author59,Fox,2027,
CAU134,B134,author3,CAT,2010,
CAU135,B135,author63,CAT,2020,
CAU136,B136,author94,Dog,2024,
CAU137,B137,author18,Fox,2012,
CAU138,B138,author75,Wolf,2005,
CAU139,B139,author99,Dog,2000,
CAU140,B140,author29,Dog,2007,
CAU141,B141,author16,Fox,2006,
